SHEET 1: WORLD LEADER QUOTES ON US-ISRAEL IRAN STRIKES (since Feb 28 2026)
,,,,
Leader,Country / Role,Date,Verbatim Quote,Source
António Guterres,UN Secretary-General,28 Feb 2026,"I condemn today's military escalation in the Middle East. The use of force by the United States & Israel against Iran, and the subsequent retaliation by Iran across the region, undermine international peace & security.",https://news.un.org/en/story/2026/02/1167059
António Guterres,UN Secretary-General,28 Feb 2026,"I call for an immediate cessation of hostilities & de-escalation. Failing to do so risks a wider regional conflict with grave consequences for civilians & regional stability.",https://news.un.org/en/story/2026/02/1167059
António Guterres,UN Secretary-General,28 Feb 2026 (UN Security Council emergency session),"We are witnessing a grave threat to international peace and security. Military action carries the risk of igniting a chain of events that no one can control in the most volatile region of the world.",https://edition.cnn.com/world/live-news/israel-iran-attack-02-28-26-hnk-intl
Emmanuel Macron,President – France,28 Feb 2026,"The outbreak of war between the United States, Israel, and Iran carries grave consequences for international peace and security. The ongoing escalation is dangerous for all. It must stop.",https://www.newsmax.com/politics/emmanuel-macron-iran-israel/2026/02/28/id/1247788/
Emmanuel Macron,President – France,28 Feb 2026,"France was neither warned nor involved in the strikes.",https://foreignpolicy.com/2026/02/28/us-iran-strikes-world-reactions-leaders-congress-statements/
Emmanuel Macron,President – France,28 Feb 2026 (on X / Twitter),"[Called on Iran] to engage in good faith in negotiations to end its nuclear and ballistic programs, as well as its regional destabilization activities.",https://foreignpolicy.com/2026/02/28/us-iran-strikes-world-reactions-leaders-congress-statements/
Keir Starmer,Prime Minister – UK,28 Feb 2026,"Iran can end this now. The United Kingdom played no role in these strikes. [Iran should] give up their weapons programmes, and cease the appalling violence and repression against the Iranian people.",https://www.gov.uk/government/speeches/pm-statement-on-iran-28-february-2026
Keir Starmer,Prime Minister – UK,1 Mar 2026,"We all remember the mistakes of Iraq, and we have learned those lessons. We were not involved in the initial strikes on Iran and we will not join offensive action now.",https://www.gov.uk/government/speeches/pm-statement-on-iran-1-march-2026
Keir Starmer,Prime Minister – UK,1 Mar 2026 (UK Parliament),"Any UK actions must always have a lawful basis and a viable, thought-through plan. President Trump has expressed his disagreement with our decision not to get involved in the initial strikes, but it is my duty to judge what is in Britain's national interest.",https://www.gov.uk/government/speeches/pm-statement-on-iran-1-march-2026
Keir Starmer,Prime Minister – UK,2 Mar 2026,"We do not believe in regime change from the skies.",https://www.theguardian.com/us-news/2026/mar/03/trump-starmer-uk-refusal-back-iran-strikes
Keir Starmer,Prime Minister – UK,2 Mar 2026,"It is very clear that the death of Iran's Supreme Leader has not moderated the regime. In fact, their actions are becoming even more reckless, destabilising and ruthless, deliberately planned to cause destruction not only to military targets but to civilian ones.",https://www.globalsecurity.org/wmd/library/news/iran/2026/03/iran-260302-ukgov01.htm
Keir Starmer / Emmanuel Macron / Friedrich Merz,Joint E3 Statement (UK / France / Germany),1 Mar 2026,"We did not participate in these strikes, but are in close contact with our international partners, including the United States, Israel, and partners in the region. We call for a resumption of negotiations and urge the Iranian leadership to seek a negotiated solution. Ultimately, the Iranian people must be allowed to determine their future.",https://foreignpolicy.com/2026/02/28/us-iran-strikes-world-reactions-leaders-congress-statements/
Ursula von der Leyen,European Commission President,28 Feb 2026,"We call on all parties to exercise maximum restraint, to protect civilians, and to fully respect international law. The European Union has adopted extensive sanctions in response to the actions of Iran's murderous regime and the Revolutionary Guards and has consistently promoted diplomatic efforts aimed at addressing the nuclear and ballistic programmes through a negotiated solution.",https://foreignpolicy.com/2026/02/28/us-iran-strikes-world-reactions-leaders-congress-statements/
Friedrich Merz,Chancellor – Germany,3 Mar 2026 (White House meeting with Trump),"We are on the same page in terms of getting this terrible regime in Tehran away. There are too many bad guys in this world, actually.",https://www.washingtontimes.com/news/2026/mar/3/iran-war-overshadows-trumps-meeting-german-chancellor-friedrich-merz/
Pedro Sánchez,Prime Minister – Spain,28 Feb 2026 (on X / Twitter),"We reject the unilateral military action by the United States and Israel, which represents an escalation and contributes to a more uncertain and hostile international order. We likewise reject the actions of the Iranian regime and the Revolutionary Guard. We demand immediate de-escalation and full respect for international law. We cannot afford another prolonged and devastating war in the Middle East.",https://time.com/7381811/iran-war-world-leaders-reaction-russia-china-europe/
Russian Foreign Ministry,Russia,28 Feb 2026,"This was a preplanned and unprovoked act of armed aggression against a sovereign and independent U.N. member state.",https://www.pbs.org/newshour/world/world-leaders-react-cautiously-to-u-s-and-israeli-strikes-on-iran
Russian Foreign Ministry,Russia,28 Feb 2026,"[The strikes are] plunging the Middle East into an abyss of uncontrolled escalation.",https://time.com/7381811/iran-war-world-leaders-reaction-russia-china-europe/
Wang Yi / Chinese Foreign Ministry,Foreign Minister – China,28 Feb 2026,"Iran's sovereignty, security and territorial integrity should be respected.",https://time.com/7381811/iran-war-world-leaders-reaction-russia-china-europe/
Badr Al Busaidi,Foreign Minister – Oman,28 Feb 2026,"I am dismayed. Neither the interests of the United States nor the cause of global peace are well served by this.",https://foreignpolicy.com/2026/02/28/us-iran-strikes-world-reactions-leaders-congress-statements/
Badr Al Busaidi,Foreign Minister – Oman,28 Feb 2026,"Active and serious negotiations have yet again been undermined.",https://time.com/7381811/iran-war-world-leaders-reaction-russia-china-europe/
Mark Carney,Prime Minister – Canada,28 Feb 2026,"Canada supports the United States acting to prevent Iran from obtaining a nuclear weapon and to prevent its regime from further threatening international peace and security. The Islamic Republic of Iran is the principal source of instability and terror throughout the Middle East.",https://www.canadianaffairs.news/2026/02/28/carney-backs-u-s-strikes-on-iran/
Mark Carney,Prime Minister – Canada,28 Feb – 1 Mar 2026,"Canada is actively taking on the world as it is, not passively waiting for a world we wish to be. We do however take this position with regret because the current conflict is another example of the failure of the international order.",https://www.cbc.ca/news/politics/iran-united-states-canada-carney-9.7111856
Mark Carney,Prime Minister – Canada,4 Mar 2026 (Sydney / Lowy Institute),"The United States and Israel have acted without engaging the United Nations or consulting allies, including Canada. International law binds all belligerents.",https://www.pm.gc.ca/en/news/speeches/2026/03/04/prime-minister-carney-delivers-remarks-media-sydney-australia
Mark Carney,Prime Minister – Canada,4 Mar 2026 (Sydney / Lowy Institute),"[I call for] a rapid de-escalation of hostilities.",https://www.france24.com/en/live-news/20260304-canada-pm-calls-for-rapid-de-escalation-of-war-in-middle-east
Anthony Albanese,Prime Minister – Australia,28 Feb 2026,"Australia stands with the brave people of Iran in their struggle against oppression.",https://foreignpolicy.com/2026/02/28/us-iran-strikes-world-reactions-leaders-congress-statements/
Masoud Pezeshkian,President – Iran,1 Mar 2026 (on death of Khamenei),"Revenge for the attacks is Iran's legitimate right and duty.",https://www.aljazeera.com/news/2026/3/1/world-reacts-to-killing-of-irans-khamenei-by-us-israel-forces
Ali Larijani,Security Chief – Iran,1 Mar 2026,"We will not negotiate with the United States.",https://www.aljazeera.com/news/2026/3/1/world-reacts-to-killing-of-irans-khamenei-by-us-israel-forces
Javier Milei,President – Argentina,1 Mar 2026,"One of the most evil, violent, and cruel individuals that human history has ever seen.",https://foreignpolicy.com/2026/02/28/us-iran-strikes-world-reactions-leaders-congress-statements/
Emmanuel Macron,President – France,3 Mar 2026 (televised address to the French nation),"I have ordered the Charles de Gaulle aircraft carrier, its air assets, and its escort of frigates to set course for the Mediterranean.",https://www.france24.com/en/france/20260303-live-macron-addresses-french-nation-on-widening-war-in-the-middle-east
Emmanuel Macron,President – France,3 Mar 2026 (televised address),"The Islamic Republic of Iran bears the primary responsibility for this situation.",https://www.france24.com/en/france/20260303-live-macron-addresses-french-nation-on-widening-war-in-the-middle-east
Emmanuel Macron,President – France,3 Mar 2026 (televised address),"We reacted immediately and shot down drones in self-defence in the early hours of the conflict to defend the airspace of our allies, who know they can count on us. And we will continue this effort as much as necessary.",https://www.france24.com/en/france/20260303-live-macron-addresses-french-nation-on-widening-war-in-the-middle-east
Emmanuel Macron,President – France,3 Mar 2026 (televised address),"That said, history never weeps for the executioners of their own people, and none of them will be mourned.",https://www.france24.com/en/france/20260303-live-macron-addresses-french-nation-on-widening-war-in-the-middle-east
Emmanuel Macron,President – France,3 Mar 2026 (televised address),"It is Iran that developed a dangerous nuclear programme and unprecedented ballistic capabilities, that armed and financed terrorist groups in neighbouring countries… and that supported Hamas, while always affirming its objective of destroying the State of Israel.",https://www.france24.com/en/france/20260303-live-macron-addresses-french-nation-on-widening-war-in-the-middle-east
Friedrich Merz,Chancellor – Germany,~1 Mar 2026 (official press statement),"The mullah regime is a terrorist regime responsible for decades of oppression of the Iranian people. Thousands of people fell victim to this regime during the demonstrations at the beginning of the year alone. The regime threatens the very existence of the State of Israel.",https://www.globalsecurity.org/wmd/library/news/iran/2026/03/iran-260301-de-fedgov01.htm
Friedrich Merz,Chancellor – Germany,~1 Mar 2026 (official press statement),"This is why we are not lecturing our partners on their military strikes against Iran.",https://www.globalsecurity.org/wmd/library/news/iran/2026/03/iran-260301-de-fedgov01.htm
Keir Starmer,Prime Minister – UK,5 Mar 2026 (press conference – Downing Street),"Iran has now fired drones and missiles at ten countries that did not attack them.",https://www.gov.uk/government/speeches/pm-remarks-on-the-situation-in-the-middle-east-5-march-2026
Keir Starmer,Prime Minister – UK,5 Mar 2026 (press conference – Downing Street),"My focus is providing calm, level-headed leadership in the national interest… That means having the strength to stand firm by our values and our principles, no matter the pressure to do otherwise.",https://www.gov.uk/government/speeches/pm-remarks-on-the-situation-in-the-middle-east-5-march-2026
Keir Starmer,Prime Minister – UK,5 Mar 2026 (press conference – Downing Street),"Our jets were in the sky last night over Jordan, Qatar and other partners – refuelling in the air to prolong their mission. And we're constantly resupplying our jets and missile stores. To take out Iranian missiles before they are fired at our people and our allies. We will maintain this shield over British people in the region and our allies.",https://www.gov.uk/government/speeches/pm-remarks-on-the-situation-in-the-middle-east-5-march-2026
Keir Starmer,Prime Minister – UK,5 Mar 2026 (press conference – Downing Street),"That decision was deliberate. It was in the national interest – and I stand by it.",https://www.gov.uk/government/speeches/pm-remarks-on-the-situation-in-the-middle-east-5-march-2026
Keir Starmer,Prime Minister – UK,5 Mar 2026 (press conference – Downing Street),"This conflict could continue for some time.",https://www.gov.uk/government/speeches/pm-remarks-on-the-situation-in-the-middle-east-5-march-2026
Pedro Sánchez,Prime Minister – Spain,4 Mar 2026 (televised address),"We say no to breaking the international law that protects us all, especially the most defenseless, the civilian population. No to accepting that the world can only solve its problems through conflicts and bombs. And, finally, no to repeating the mistakes of the past. In short, the position of the government of Spain is summarized in four words: No to the war.",https://www.washingtonpost.com/world/2026/03/04/iran-trump-spain-war-sanchez-bases/ | https://www.cnbc.com/2026/03/04/spain-pm-sanchez-trump-trade-nato-defense-iran-israel-crisis.html
Pedro Sánchez,Prime Minister – Spain,4 Mar 2026 (televised address),"We will not be complicit in something that is harmful to the world and contrary to our values and interests, simply out of fear of retaliation.",https://www.washingtonpost.com/world/2026/03/04/iran-trump-spain-war-sanchez-bases/
