category,tourism_type,1991,1993,1995,1996,1998,2000,2002,2004,2005,2006,2007,2008,2009,2010
Cafés & Pastry Shops,tourism,361,74,1275,72,1422,1484,1531,1904,1921,1992,1994,2043,2021,2014
Restaurants,tourism,579,155,1750,104,1846,1886,1972,2501,2529,2657,2725,2784,2733,2736
Snack Bars,tourism,150,34,448,35,507,523,534,609,598,620,625,602,572,542
Bars & Pubs,tourism,168,23,335,16,316,309,304,319,310,327,358,366,361,355
Souvenir & Craft Shops,tourism,48,14,78,17,90,85,89,122,123,136,138,142,151,168
Jewellers,other,97,25,236,23,256,269,282,316,309,307,301,294,287,285
Traditional Grocers,resident,448,51,769,53,705,687,667,633,597,569,536,515,509,492
Supermarkets,resident,98,18,202,19,223,218,230,264,272,277,287,302,313,321
Bakeries,resident,188,26,385,17,384,380,377,336,311,271,250,228,214,204
Butchers,resident,187,19,369,22,368,364,347,339,322,314,302,288,277,263
Fishmongers,resident,60,6,72,2,64,64,66,80,84,81,78,73,66,66
Pharmacies,resident,151,4,302,23,289,292,297,310,305,300,300,300,295,290
Tobacconists,resident,184,124,488,61,495,502,521,563,516,517,514,504,482,473
Newsagents,resident,150,31,330,27,328,334,342,400,392,385,372,357,342,317
Shoe Shops,other,179,29,312,44,309,303,307,328,322,309,304,305,288,289
Hardware / DIY,resident,352,48,613,50,584,576,562,567,543,519,503,502,467,450
Furniture,resident,219,56,405,39,397,414,407,414,373,350,329,304,291,269
Photo & Film,other,88,19,144,16,152,157,157,165,156,148,130,121,103,92
Hotels & Accommodation,tourism,15,3,22,1,23,22,22,20,17,15,14,12,11,134
Clothing Shops,other,851,210,1451,210,1552,1593,1676,1821,1692,1682,1639,1598,1548,1557
TOTAL,all,7081,1650,14677,1508,15351,15631,16098,18363,17857,17954,17823,17768,17331,17200
