category,tourism_type,1991,1993,1995,1996,1998,2000,2002,2004,2005,2006,2007,2008,2009,2010
Cafés & Pastry Shops,tourism,5.0981,4.4848,8.6871,4.7745,9.2632,9.4940,9.5105,10.3687,10.7577,11.0950,11.1878,11.4982,11.6612,11.7093
Restaurants,tourism,8.1768,9.3939,11.9234,6.8966,12.0253,12.0658,12.2500,13.6198,14.1625,14.7989,15.2892,15.6686,15.7694,15.9070
Snack Bars,tourism,2.1183,2.0606,3.0524,2.3210,3.3027,3.3459,3.3172,3.3165,3.3488,3.4533,3.5067,3.3881,3.3004,3.1512
Bars & Pubs,tourism,2.3725,1.3939,2.2825,1.0610,2.0585,1.9768,1.8884,1.7372,1.7360,1.8213,2.0086,2.0599,2.0830,2.0640
Souvenir & Craft Shops,tourism,0.6779,0.8485,0.5314,1.1273,0.5863,0.5438,0.5529,0.6644,0.6888,0.7575,0.7743,0.7992,0.8713,0.9767
Jewellers,other,1.3699,1.5152,1.6080,1.5252,1.6676,1.7209,1.7518,1.7209,1.7304,1.7099,1.6888,1.6547,1.6560,1.6570
Traditional Grocers,resident,6.3268,3.0909,5.2395,3.5146,4.5925,4.3951,4.1434,3.4471,3.3432,3.1692,3.0074,2.8985,2.9369,2.8605
Supermarkets,resident,1.3840,1.0909,1.3763,1.2599,1.4527,1.3947,1.4287,1.4377,1.5232,1.5428,1.6103,1.6997,1.8060,1.8663
Bakeries,resident,2.6550,1.5758,2.6232,1.1273,2.5015,2.4311,2.3419,1.8298,1.7416,1.5094,1.4027,1.2832,1.2348,1.1860
Butchers,resident,2.6409,1.1515,2.5141,1.4589,2.3972,2.3287,2.1555,1.8461,1.8032,1.7489,1.6944,1.6209,1.5983,1.5291
Fishmongers,resident,0.8473,0.3636,0.4906,0.1326,0.4169,0.4094,0.4100,0.4357,0.4704,0.4512,0.4376,0.4109,0.3808,0.3837
Pharmacies,resident,2.1325,0.2424,2.0576,1.5252,1.8826,1.8681,1.8449,1.6882,1.7080,1.6709,1.6832,1.6884,1.7022,1.6860
Tobacconists,resident,2.5985,7.5152,3.3249,4.0451,3.2245,3.2116,3.2364,3.0659,2.8896,2.8796,2.8839,2.8366,2.7811,2.7500
Newsagents,resident,2.1183,1.8788,2.2484,1.7905,2.1367,2.1368,2.1245,2.1783,2.1952,2.1444,2.0872,2.0092,1.9733,1.8430
Shoe Shops,other,2.5279,1.7576,2.1258,2.9178,2.0129,1.9385,1.9071,1.7862,1.8032,1.7211,1.7057,1.7166,1.6618,1.6802
Hardware / DIY,resident,4.9710,2.9091,4.1766,3.3156,3.8043,3.6850,3.4911,3.0877,3.0408,2.8907,2.8222,2.8253,2.6946,2.6163
Furniture,resident,3.0928,3.3939,2.7594,2.5862,2.5862,2.6486,2.5283,2.2545,2.0888,1.9494,1.8459,1.7109,1.6791,1.5640
Photo & Film,other,1.2428,1.1515,0.9811,1.0610,0.9902,1.0044,0.9753,0.8985,0.8736,0.8243,0.7294,0.6810,0.5943,0.5349
Hotels & Accommodation,tourism,0.2118,0.1818,0.1499,0.0663,0.1498,0.1407,0.1367,0.1089,0.0952,0.0835,0.0786,0.0675,0.0635,0.7791
Clothing Shops,other,12.0181,12.7273,9.8862,13.9257,10.1101,10.1913,10.4112,9.9167,9.4753,9.3684,9.1960,8.9937,8.9320,9.0523
